Incident No.,Incident Type,Incident Date,Discovery Date,Country Role,Region,Country,City/Region,Location Type,Origin if known,Transit if known,Destination if known,Report grading,Verif means,Ultimate source type,Ult. Verif. Source,Ult. Source Reliability,Orig. Source Type,Medium,Original Source,Day,Month,Year,Day (+/-),Month (+/-),# Cheetahs,Units,Incident Description,Confiscated,Surrendered,Alive,Died,LTF/ UNK Fate,Action Taken,Outcome,Detecting agency,POI Assigned ID,Other info / URL
PT-2013-021,Possession/trade,26/01/2013,23/08/2016,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,26,1,2013,,,1,Live,(Code 311-002): Age: Adult; Sex: 1U; Price: pet?,0,0,0,0,1,,,Does not apply,POI/WB-311,
PT-2013-022,Possession/trade,28/01/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),28,1,2013,,,1,Live,(Code 234-001): Age: 2Y; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-234,
PT-2013-023,Possession/trade,28/01/2013,09/09/2020,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,F,Image search,E,Original source,F,C,Social Media,twitter.com,28,1,2013,,,1,Live,(Code 576-002): Age: 2M; Sex: 1U; Price: 27000 SAR (sold),0,0,0,0,1,,Sold.,Does not apply,POI/WB-576,
PT-2013-024,Possession/trade,04/02/2013,04/02/2013,O,East Africa,Ethiopia,Sinijif,Private home,,,Somaliland,A,Direct,C,Original source,A,A,Email,SLD field team,4,2,2013,,,7,Live,cubs (3 are ~5 months old; 2 under 3 months) are currently kept together at a compound / location / homestead on the outskirts of Sinijif. Three people involved (names on file).,0,0,0,0,7,"Sent info on location to EWCA who indicated they would take action. EWCA contacted Finukif, Aysha Dawalie district, City Zonal Administration and requested the Regional Police & the President office to support . SLD field team rep and Awdal Region environmental co-ordinator in the area  talked  with the police and Somaliland army in the area. It was to sensitize them to go for a confiscation if the cheetahs would slip over the border. In this connection they have then apparently today also arrested 4 ""brokers"". This is not a big thing as they will be for sure free after some days but they will have to pay for sure to the police some 20 – 50 USD per person. And this is what concerns these guys most, that they lose money.",10-Feb-13: Cubs have been moved probably to the wider area well within Ethiopia but have currently no detailed information about their whereabouts. The arrested persons have been again all released after some clan pressure on the police in Harirad.,Does not apply,"POI-44, POI-45, POI-40",
PT-2013-025,Possession/trade,04/02/2013,13/09/2016,D,Middle East,Qatar,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,4,2,2013,,,1,Live,(Code 279-001): Age: 3M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-279,
PT-2013-026,Seizure,09/02/2013,02/03/2019,T/D,Middle East,Saudi Arabia,,Unknown,,,,B,Zoo or rescue center report,B,Original source,A,C,Database,Int'l Cheetah Studbook (2018),9,2,2013,,,1,Live,~15-days' male cub reported as rescued,1,0,1,0,0,,Studbook # on file.,Unknown,Unknown,https://cheetah.org/resource-library/2018-international-studbook/
PT-2013-027,Possession/trade,10/02/2013,10/02/2013,O,East Africa,Ethiopia,Harirat,Rural area,,,Somaliland,E,Unable to verify,C,Informant,B,A,Email,SLD field team,10,2,2013,,,3,Live,Cubs trafficked around the 10 Feb 2013 in the Harirad area from Ethiopia to Somaliland and presumably brought directly to the coast and shipped out.,0,0,0,0,3,,No known outcome.,Does not apply,Unknown,
PT-2013-028,Possession/trade,10/02/2013,10/02/2013,O/T,East Africa,Somaliland,Daradere,Border crossing,Ethiopia,,,E,Unable to verify,D,Informant,B,A,Email,SLD field team,10,2,2013,,,3,Live,Cubs crossed on camel back into Somaliland from Hadigud area in Ethiopia to Daradere in Somaliland (10 km southwest of Harirad). There they were taken by a car but this has broken down in the bush. It is believed that they have been brought either towards Hargeisa or directly to the Lughaya area on the coast. ,0,0,0,0,3,SLD field team sent vehicles looking for broken down car. ,Unable to locate them (vehicle or cheetahs),Does not apply,Unknown,
PT-2013-029,Possession/trade,12/02/2013,12/02/2013,O/T,East Africa,Somaliland,"Harirad, Harirat",Rural area,Ethiopia,,,E,Unable to verify,C,Informant,B,A,Email,SLD field team,12,2,2013,,,9,Live,Cubs trafficked around the 12.02.13 in the Harirad area from Ethiopia to Somaliland and presumably brought directly to the coast and shipped out,0,0,0,0,9,,Unknown outcome.,Does not apply,Unknown,
PT-2013-030,Possession/trade,12/02/2013,13/02/2013,O/T,East Africa,Somaliland,"Boroma, Boorama",Rural area,,,,E,Unable to verify,C,Informant,B,A,Email,SLD field team,12,2,2013,,,9,Live,cubs crossed on Tuesday into Somaliland and are now in Boroma or at the coast. There is still a very small chance that they can be confiscated if they are still in Boroma.,0,0,0,0,9,Presumably the main smuggler in this case is known. ,No known outcome.,Does not apply,Unknown,
PT-2013-031,Possession/trade,20/02/2013,10/09/2016,D,Middle East,Kuwait,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,20,2,2013,,,1,Live,(Code 173-002): Age: 5M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-173,
PT-2013-032,Possession/trade,25/02/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),25,2,2013,,,1,Live,(Code 258-001): Age: 5M; Sex: 1F; Price: 2500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-258,
PT-2013-033,Possession/trade,25/02/2013,17/08/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,25,2,2013,,,1,Live,(Code 149-004): Age: 3M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-149,
PT-2013-034,Possession/trade,25/02/2013,13/09/2016,D,Middle East,Qatar,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,25,2,2013,,,1,Live,(Code 279-002): Age: 6-7M?; Sex: 1U; Price: pet?,0,0,0,0,1,,,Does not apply,POI/WB-279,
PT-2013-035,Possession/trade,26/02/2013,26/02/2013,O,East Africa,Ethiopia,Togwajale,Border crossing,,,Somaliland,E,Unable to verify,D,Informant,B,A,Email,SLD field team,26,2,2013,,-4,8,Live,Between about October 2012 and now at least seven cheetah cubs have been trafficked through Togwajale (main border crossing between Somaliland and Ethiopia). There is rumor that there is currently one more cheetah cub in Togwajale (which has significance when it comes to ivory and spotted cat skins ).,0,0,0,0,8,,Unknown outcome.,Does not apply,Unknown,
PT-2013-036,Possession/trade,26/02/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),26,2,2013,,,1,Live,(Code 206-001): Age: 6M?; Sex: 1U; Price: 2700 KWD,0,0,0,0,1,,,Does not apply,POI/WB-206,
PT-2013-037,Possession/trade,01/03/2013,01/03/2013,O/T,Southern Africa,Angola,Luanda,Local market,,,,B,Image search,C,Original source,B,D,Email,Confidential informant (20) (in litt. 2013),1,3,2013,,-1,2,Skin,"raw and unprocessed, for sale on a visit to a local market near Luanda. I was shocked by the blatant sale of ivory and other wildlife products. I also saw nearly 30 leopard skins, some very fresh. ",0,0,0,2,0,Witness informed me that he is working with a journalist friend to try get some coverage for an exposé. ,Unknown outcome.,Does not apply,Unknown,
PT-2013-038,Possession/trade,01/03/2013,13/01/2017,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,1,3,2013,,,1,Live,(Code 316-003): Age: 5M?; Sex: 1U; Price: pet?,0,0,0,0,1,,,Does not apply,POI/WB-316,
PT-2013-039,Seizure,02/03/2013,23/10/2015,O,East Africa,Kenya,Taita Taveta,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,2,3,2013,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,1 arrested 1 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2013-040,Possession/trade,03/03/2013,10/09/2016,D,Middle East,Kuwait,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,3,3,2013,,,1,Live,(Code 173-003): Age: 2M; Sex: 1F; Price: UNK - sold,0,0,1,0,0,,Sold,Does not apply,POI/WB-173,
PT-2013-041,Possession/trade,09/03/2013,17/08/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,9,3,2013,,,1,Live,"(Code 149-005): Age: 2-3M; Sex: 1U; Price: ""gift""",0,0,0,0,1,,,Does not apply,POI/WB-149,
PT-2013-042,Possession/trade,12/03/2013,12/03/2013,D,Middle East,UAE,Dubai,Private zoo,,,,A,Direct,C,Owner,B,D,Email,Confidential informant (02) (in litt. 2013),12,3,2013,,,5,Live,A lady saying that she had a small zoo in Dubai contacted CCF about three 5-week old cubs that died. She got them from a dealer; the cubs were in a back room/court and in bad shape,0,0,2,3,0,"After several communications and finally personal contact, it was determined that the lady purchased four cheetah cubs from the internet (Dubai Moon); three died shortly, apparently of FLP (Feline Panleukopemia).",Genetic samples of two of the dead cubs were obtained for analysis. The third cub was already disposed of. The fourth cub is alive and living with another cheetah pet (a female ~1 1/2 years old).,Does not apply,Unknown,
PT-2013-043,Possession/trade,14/03/2013,09/06/2020,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,14,3,2013,,,1,Live,(Code 475-001): Age: 2M; Sex: 1M; Price: 3300 KWD,0,0,0,0,1,,,Does not apply,POI/WB-475,
PT-2013-044,Seizure,16/03/2013,16/03/2013,O,East Africa,Ethiopia,Shedeer/Hartesheik,Rural area,,,Somaliland,D,Official communication,A,Min Environment,A,A,Email,SLD field team,17,3,2013,,,4,Live,Cubs (and one lion cub) expected to arrive within the next days in Togwajale – Somaliland. ,4,0,0,4,0,"22-Mar-13: Confiscated by the Somaliland Min of Env and Rural Dev at the border crossing in Togwajale. One cheetah died the same day; the other three and the lion cub were handed over to senior employee of the Ministry in Gabiley, accompanied by director of wildlife and the DG. The lion cub was sold back by a senior employee to the wildlife traffickers on 23 March. The cheetahs were transferred to the Ministry compound in Hargeisa ""locked in a dark room of about 2 square meters."" We smuggled some food to the cubs and tried as usually to get them out.""  4-Apr-13: taken to the court in Gabiley as evidence and returned to Hargeisa. SLD field team sent letter to Min Env requesting to hand over the cubs. Awaiting reaction. ",11-Apr-13: One of the remaining three cheetah cubs died. Two are underfed. One died on 6 May and the last one on 8 May.,Somaliland Min of Env and Rural Dev,Unknown,
PT-2013-045,Possession/trade,16/03/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),16,3,2013,,,1,Live,(Code 256-001): (At least 1 cub): Age: 3M?; Sex: Unk; Price: 3000-3500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-256,
PT-2013-046,Possession/trade,20/03/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),20,3,2013,,,1,Live,(Code 257-001): Age: 3Y; Sex: 1M; Price: 2600 KWD,0,0,0,0,1,,,Does not apply,POI/WB-257,
PT-2013-047,Possession/trade,22/03/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),22,3,2013,,,1,Live,(Code 236-001): Age: Adult; Sex: 1F; Price: 2500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-236,
PT-2013-048,Possession/trade,24/03/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),24,3,2013,,,1,Live,(Code 239-001): Age: 5M; Sex: 1F; Price: 4000 KWD,0,0,0,0,1,,,Does not apply,POI/WB-239,
PT-2013-049,Possession/trade,28/03/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),28,3,2013,,,1,Live,(Code 255-001): Age: 3M; Sex: 1U; Price: 2900 KWD,0,0,0,0,1,,,Does not apply,POI/WB-255,
PT-2013-050,Possession/trade,28/03/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),28,3,2013,,,1,Live,(Code 252-001): Age: 1Y; Sex: 1F; Price: 3000 KWD,0,0,0,0,1,,,Does not apply,POI/WB-252,
PT-2013-051,Possession/trade,29/03/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),29,3,2013,,,1,Live,(Code 252-002): Age: Adult; Sex: 1U; Price: 2500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-252,
PT-2013-052,Possession/trade,31/03/2013,03/10/2015,D,Middle East,Qatar,,Online,,,,D,Image search,E,Original source,F,C,Media/eCommerce,Doha News (QAT),31,3,2013,,-1,1,Live,(Code 278-002): Age: 4M; Sex: 1M; Price: 40000 QAR,0,0,0,0,1,,,Does not apply,POI/WB-278,http://dohanews.co/photos-cheetah-for-sale-in-qatar-sold-an-ad/
PT-2013-053,Possession/trade,31/03/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),31,3,2013,,,1,Live,(Code 245-001): Age: 4.5M; Sex: 1U; Price: 2000 KWD,0,0,0,0,1,,,Does not apply,POI/WB-245,
PT-2013-054,Possession/trade,02/04/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),2,4,2013,,,1,Live,(Code 207-001): Age: 5M?; Sex: 1U; Price: 4500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-207,
PT-2013-055,Possession/trade,08/04/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com via research volunteer (25),8,4,2013,,,1,Live,(Code 242-001): Age: 4-5M?; Sex: 1U; Price: 4500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-242,
PT-2013-056,Possession/trade,08/04/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),8,4,2013,,,1,Live,(Code 191-001): Age: 6M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-191,
PT-2013-057,Possession/trade,08/04/2013,22/08/2016,D,Middle East,UAE,,Online,,,,D,Image search,E,Original source,F,C,eCommerce,bb.ma7room.com,8,4,2013,,,3,Live,(Code 334-002): Age: 2M; Sex: 3U; Price: 40000 AED,0,0,0,0,3,,,Does not apply,POI/WB-334,
PT-2013-058,Possession/trade,08/04/2013,10/09/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com via research volunteer (25),8,4,2013,,,1,Live,(Code 210-001): Age: cub; Sex: 1U; Price: 3000 KWD,0,0,0,0,1,,,Does not apply,POI/WB-210,
PT-2013-059,Possession/trade,08/04/2013,12/01/2017,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com via research volunteer (25),8,4,2013,,,1,Live,(Code 192-001): Age: 6M; Sex: 1U; Price: 3000 KWD,0,0,0,0,1,,,Does not apply,POI/WB-192,
PT-2013-060,Possession/trade,09/04/2013,09/04/2013,O/T,East Africa,Somaliland,Hargeisa,Unknown,Ethiopia,,,E,Unable to verify,D,Informant,B,A,Email,SLD field team,9,4,2013,,,2,Live,Somebody (more or less reliable) claimed to have heard before yesterday a conversation between two men in a café. One of the men said that he was just in the last days in Ethiopia and brought two cheetahs with him and has already sold them.,0,0,0,0,2,,Unknown outcome.,Does not apply,Unknown,
PT-2013-061,Possession/trade,10/04/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),10,4,2013,,,1,Live,(Code 254-001): Age: 4M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-254,
PT-2013-062,Possession/trade,11/04/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),11,4,2013,,,1,Live,(Code 236-002): Age: 7M; Sex: 1U; Price: 3800 KWD,0,0,0,0,1,,,Does not apply,POI/WB-236,
PT-2013-063,Possession/trade,12/04/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),12,4,2013,,,1,Live,(Code 231-001): Age: 7M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-231,
PT-2013-064,Possession/trade,13/04/2013,17/08/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com via research volunteer (25),13,4,2013,,,1,Live,(Code 207-002): Age: 7M; Sex: 1u; Price: 3900 KWD,0,0,0,0,1,,,Does not apply,POI/WB-207,
PT-2013-065,Possession/trade,19/04/2013,11/09/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,19,4,2013,,,1,Live,(Code 182-001): Age: Adult; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-182,
PT-2013-066,Possession/trade,22/04/2013,11/09/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,22,4,2013,,,1,Live,(Code 182-002): Age: 6M?; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-182,
PT-2013-067,Possession/trade,23/04/2013,01/05/2020,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,D,Unable to verify,E,Original source,B,C,Social Media,twitter.com,23,4,2013,,,2,Live,(Code 007-003): (At least 2 cubs): Age: 3M; Sex: 2U; Price: 35000 SAR,0,0,0,0,2,,,Does not apply,POI/WB-007,
PT-2013-068,Possession/trade,24/04/2013,26/03/2017,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,24,4,2013,,,1,Live,(Code 023-001): Age: 3M; Sex: 1U; Price: Pet?,0,0,0,0,1,,,Does not apply,POI/WB-023,
PT-2013-069,Possession/trade,28/04/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),28,4,2013,,,1,Live,(Code 213-001): Age: 7M; Sex: 1F; Price: 4500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-213,
PT-2013-070,Possession/trade,30/04/2013,30/04/2013,O,East Africa,Ethiopia,Dayac,Rural area,,,,A,Direct,C,Original source,A,A,Email,SLD field team,30,4,2013,,,3,Live,cub held in Dayac (~5 km from Harirad in Ethiopia). This is the remaining cub out of a group of three. The other two have died earlier.’,0,0,0,3,0,Negotiations to get it released failed. Location where it is held and two names of people who keep the cub have been forwarded to Ethiopia. ,Last cub died around 3 May 2013.,Does not apply,"POI-46, POI-47",
PT-2013-071,Seizure,31/05/2013,23/10/2015,D,Middle East,Kuwait,Nowaiseeb,Border crossing,,Saudi Arabia,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,1,5,2013,,-1,1,Live,Confiscated from car at South borders Nowaiseeb  by Kuwait Forces. Source: Saudi Arabia,1,0,0,0,1,,,Kuwait Customs,Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2013-072,Possession/trade,01/05/2013,10/09/2016,D,Middle East,Kuwait,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,1,5,2013,,,2,Live,"(Code 173-004): Age: 3M; Sex: 1M,1F; Price: UNK",0,0,0,0,2,,,Does not apply,POI/WB-173,
PT-2013-073,Possession/trade,02/05/2013,22/08/2016,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,eCommerce,ourpetclub.com,2,5,2013,,,1,Live,(Code 007-004): Age: 5M; Sex: 1F; Price: UNK (sold),0,0,1,0,0,,8-May-13: Cub was sold.  ,Does not apply,POI/WB-007,
PT-2013-074,Possession/trade,03/05/2013,01/10/2020,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,D,Image,E,Original source,F,C,Social media,twitter.com,3,5,2013,,,1,Live,(Code 618-001) Embalmed. Age: 3M; Sex: 1U; Price: Unk,0,0,0,1,0,,,Does not apply,POI/WB-618,
PT-2013-075,Possession/trade,04/05/2013,11/09/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media/Phone App,"instagram.com, 4sale via research volunteer (25)",4,5,2013,,,1,Live,(Code 182-003): Age: 3M?; Sex: 1U; Price: 4000 KWD,0,0,0,0,1,,,Does not apply,POI/WB-182,
PT-2013-076,Possession/trade,04/05/2013,01/10/2020,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,D,Image,E,Original source,F,C,Social media,twitter.com,4,5,2013,,,1,Live,(Code 618-002) Embalmed. Age: 3M; Sex: 1U; Price: Unk,0,0,0,1,0,,,Does not apply,POI/WB-618,
PT-2013-077,Possession/trade,06/05/2013,16/08/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,C,C,Social media,instagram.com,6,5,2013,,,1,Live,(Code 575-001): Age: 10M; Sex: 1U; Price: Unk,0,0,0,0,1,,,Does not apply,POI/WB-575,
PT-2013-078,Possession/trade,07/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social media,Unknown site via research volunteer (25),7,5,2013,,,5,Live,(Code 425-001): Age: 3M?; Sex: 5U; Price: UNK,0,0,0,0,5,,,Does not apply,POI/WB-425,
PT-2013-079,Possession/trade,07/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),7,5,2013,,,1,Live,(Code 249-001): Age: 3M; Sex: 1U; Price: 1200 KWD,0,0,0,0,1,,,Does not apply,POI/WB-249,
PT-2013-080,Possession/trade,07/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),7,5,2013,,,1,Live,(Code 250-001): Age: 9M; Sex: 1U; Price: 4500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-250,
PT-2013-081,Possession/trade,08/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),8,5,2013,,,1,Live,(Code 240-001): Age: 2Y8M; Sex: 1U; Price: 4500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-240,
PT-2013-082,Possession/trade,09/05/2013,20/09/2015,T/D,Middle East,Saudi Arabia,Qatif,Online,,,,D,Image search,E,Original source,F,C,Social Media,facebook.com,9,5,2013,,,1,Live,(Code 128-001): Age: 2M; Sex: 1U; Price: 35000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-128,
PT-2013-083,Possession/trade,09/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),9,5,2013,,,1,Live,(Code 205-001): Age: 5M?; Sex: 1U; Price: 4300 KWD,0,0,0,0,1,,,Does not apply,POI/WB-205,
PT-2013-084,Possession/trade,09/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),9,5,2013,,,1,Live,(Code 246-001): Age: 3M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-246,
PT-2013-085,Possession/trade,09/05/2013,05/10/2020,O,Southern Africa,Namibia,,Unknown,,,,A,Direct,C,Original source,A,D,Report,CCF,9,5,2013,,,1,Live,female cheetah surrendered by owner.,0,1,1,0,0,,Transferred to rescue center. Studbook # on file. ,Unknown,Unknown,
PT-2013-086,Possession/trade,10/05/2013,10/05/2013,O,East Africa,Ethiopia,Sinijif,Rural area,,,,A,Direct,C,Original source,A,A,Email,SLD field team,10,5,2013,,,5,Live,Cubs reported to be held in the Sinejif area in Ethiopia. Locations are more or less clear.  We try to follow up.,0,0,0,0,5,Forwarded to EWCA for follow up.,Unknown outcome.,Does not apply,Unknown,
PT-2013-087,Possession/trade,11/05/2013,17/08/2016,D,Middle East,Qatar,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,11,5,2013,,,2,Live,(Code 272-001): Age: Adult; Sex: 2U; Price: pets?,0,0,0,0,2,,,Does not apply,POI/WB-272,
PT-2013-088,Possession/trade,12/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),12,5,2013,,,1,Live,(Code 247-001): Age: 9M; Sex: 1U; Price: 2400 KWD,0,0,0,0,1,,,Does not apply,POI/WB-247,
PT-2013-089,Seizure,13/05/2013,14/05/2013,T,Middle East,Yemen,Al Khawkhah,Security checkpoint,,,,A,Photo,A,EPA official,A,D,Email,FEW/FPALY Yemen (in litt. 2013),13,5,2013,-14,,2,Live,"Cubs (plus two Speke gazelles --endangered and two striped hyenas) confiscated at security checkpoint. A ""group of hunters"" arrested.",2,0,0,0,2,"""the captured animals were sent to the Security Department in hodeidah."" Recommended transfer to Ibb or Sana Zoo until other facility/permits available. FEW in contact with Governor of Ibb and EPA authorities.","On 28 May, researcher was informed that cheetahs ""disappeared from the security department in Hodeidah""",Unknown,Unknown,
PT-2013-090,Possession/trade,13/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media/Phone App,"instagram.com, 4sale via research volunteer (25)",13,5,2013,,,1,Live,(Code 243-001): Age: 6Y; Sex: 1U; Price: 4300 KWD,0,0,0,0,1,,,Does not apply,POI/WB-243,
PT-2013-091,Possession/trade,15/05/2013,03/03/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com via research volunteer (25),15,5,2013,,,1,Live,(Code 182-004): Age: 2M; Sex: 1M; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-182,
PT-2013-092,Possession/trade,16/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),16,5,2013,,,1,Live,(Code 196-001): Age: Adult; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-196,
PT-2013-093,Possession/trade,18/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),18,5,2013,,,1,Live,(Code 244-001): Age: 5M; Sex: 1F; Price: 3800 KWD,0,0,0,0,1,,,Does not apply,POI/WB-244,
PT-2013-094,Possession/trade,18/05/2013,26/03/2017,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,18,5,2013,,,1,Live,(Code 023-002): Age: 5M; Sex: 1U; Price: 36000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-023,
PT-2013-095,Possession/trade,22/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),22,5,2013,,,1,Live,(Code 193-001): Age: 9M; Sex: 1U; Price: 3500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-193,
PT-2013-096,Possession/trade,25/05/2013,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),25,5,2013,,,1,Live,(Code 251-001): Age: 11M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-251,
