Incident No.,Incident Type,Incident Date,Discovery Date,Country Role,Region,Country,City/Region,Location Type,Origin if known,Transit if known,Destination if known,Report grading,Verif means,Ultimate source type,Ult. Verif. Source,Ult. Source Reliability,Orig. Source Type,Medium,Original Source,Day,Month,Year,Day (+/-),Month (+/-),# Cheetahs,Units,Incident Description,Confiscated,Surrendered,Alive,Died,LTF/ UNK Fate,Action Taken,Outcome,Detecting agency,POI Assigned ID,Other info / URL
PT-2015-352,Seizure,31/10/2015,02/03/2019,T/D,Middle East,Saudi Arabia,,Unknown,,,,B,Zoo or rescue center report,B,Original source,A,C,Database,Int'l Cheetah Studbook (2018),31,10,2015,,,3,Live,~1-2-mo female cubs reported as rescued,3,0,3,0,0,,Studbook # on file.,Unknown,Unknown,https://cheetah.org/resource-library/2018-international-studbook/
PT-2015-353,Possession/trade,01/11/2015,14/01/2016,T/D,Middle East,Saudi Arabia,Jizan or Jazan,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,1,11,2015,,,1,Live,(Code 040-003): Age: 3M; Sex: 1F; Price: 25000 SAR (sold),0,0,1,0,0,,9-Nov-15: Older cub sold.,Does not apply,POI/WB-040,
PT-2015-354,Possession/trade,01/11/2015,14/01/2016,T/D,Middle East,Saudi Arabia,Jizan or Jazan,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,1,11,2015,,,1,Live,(Code 040-004): Age: 2M; Sex: 1U; Price: 21000-23000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-040,
PT-2015-355,Possession/trade,01/11/2015,02/10/2020,T/D,Middle East,Saudi Arabia,Abu Arish,Online,,,,D,Image,E,Original source,F,C,eCommerce,haraj.com.sa,1,11,2015,,,1,Live,(Code 627-001): Age: 11M; Sex: 1F; Price: Unk ,0,0,0,0,1,,,Does not apply,POI/WB-627,
PT-2015-356,Posession/trade,02/11/2015,11/07/2020,T/D,Middle East,Saudi Arabia,Mecca,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,2,11,2015,,,4,Live,"(Code 547-001): Age: 3-4M; Sex: M,F; Price: 28000 SAR",0,0,0,0,4,,,Does not apply,POI/WB-547,
PT-2015-357,Seizure,03/11/2015,23/10/2015,O,East Africa,Tanzania,Dar es Salaam,Bus,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,3,11,2015,,,1,Skin,"hidden in bag on a bus, confiscated by Police Force.",1,0,0,1,0,,Two individuals arrested for illegal posession.,Police Force,Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2015-358,Possession/trade,07/11/2015,13/03/2017,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,7,11,2015,,,1,Live,(Code 311-005): Age: 4M?; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-311,
PT-2015-359,Possession/trade,08/11/2015,12/01/2017,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,8,11,2015,,,1,Live,(Code 120-063): Age: 7M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-120,
PT-2015-360,Possession/trade,09/11/2015,15/12/2015,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,9,11,2015,,,1,Live,(Code 120-064): Age: 5M; Sex: 1U; Price: 22000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-120,
PT-2015-361,Possession/trade,09/11/2015,24/05/2018,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,9,11,2015,,,1,Live,(Code 394-003): Age: 4M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-394,
PT-2015-362,Seizure,10/11/2015,30/01/2016,O,Southern Africa,Namibia,Mukwe,Village,,,,D,Photo,C,New Era (NAM),B,C,Media,"On the Trail No. 11, p91",10,11,2015,,,1,Skin,"Members of the Rundu police in Kavango East Region have confiscated three crocodile skins, six elephant tusks, one cheetah skin and one skin of a honey badger from various suspects.",1,0,0,1,0,,"On 2015-11-10, two Zambian nationals, a male and a female, were arrested by the police at Kangongo village in Mukwe in Kavango East Region for possession of controlled game products. ",Rundu Police,Unknown,"https://www.newera.com.na/2015/11/13/police-seize-elephant-tusks-croc-cheetah-skins/, http://www.robindesbois.org/wp-content/uploads/2016/03/ON_THE_TRAIL_11.pdf"
